version,weight,weight_post,ft_hispanic,ft_black,ft_white,state2,dist,region,statefip,race,white,black,hispan,asian,whiteid,hispanid,blackid,asianid,raceid,pid7,pid3,ideo,pid_importance,education,education5,education4,age,income,gender,marital,fl_dem,fl_gop,fl_ingroup,fl_outgroup,condition_hard_for_blacks,blacks_no_special_favor,blacks_try_harder,blacks_got_less,rr,protest,petition,contribute_indv,contribute_party,contribute_group,work,campaign_actvt
"ANES2020TimeSeries_20220210",.9628091233,1.005737474,70,60,85,"OK",4,3,40,3,0,0,1,0,,4,,,4,7,1,6,2,6,4,3,46,21,1,4,0,85,85,0,1,4,4,5,.875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.069085093,1.163473122,85,85,85,"ID",2,4,16,4,0,0,0,1,,,,3,3,4,,4,,3,3,2,37,13,2,1,0,50,,,4,2,1,4,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6834208847,.7686811101,100,100,60,"VA",2,3,51,1,1,0,0,0,5,,,,5,3,0,2,0,2,2,1,40,17,2,1,60,0,60,0,1,0,0,1,.125,1,1,1,2,1,1,3
"ANES2020TimeSeries_20220210",.5009530484,.5210195344,70,70,70,"CA",22,4,6,4,0,0,0,1,,,,5,5,6,1,3,3,4,3,2,41,7,1,1,50,70,70,50,4,3,3,4,.875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.262293984,.9657891668,50,50,50,"CO",4,4,8,5,0,0,0,0,,,,,,4,0,5,0,8,5,4,72,22,1,3,20,70,,,2,4,2,5,.8125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.2690296823,.2347078263,60,70,,"TX",5,3,48,1,1,0,0,0,3,,,,3,3,0,4,0,3,3,2,71,3,2,4,85,15,85,15,2,3,1,2,.5,2,2,1,2,2,2,1
"ANES2020TimeSeries_20220210",.4490049736,.4407001344,50,70,85,"WI",6,2,55,1,1,0,0,0,3,,,,3,6,1,4,3,4,3,2,37,4,2,1,15,75,75,15,5,4,4,5,1.125,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.61658149,.7694302628,50,0,50,"MS",4,3,-1,1,1,0,0,0,1,,,,1,6,1,,1,2,2,1,45,3,2,1,50,100,100,50,5,4,0,5,.875,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.426270067,1.421516199,85,50,85,"AZ",4,4,4,1,1,0,0,0,2,,,,2,4,0,,0,2,2,1,70,10,2,1,,,,,3,3,2,3,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",2.224909755,1.842216263,50,35,50,"CA",40,4,6,3,0,0,1,0,,1,,,1,2,-1,,-3,4,3,2,43,11,1,5,60,50,60,50,2,4,2,5,.8125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.571632444,1.548010774,100,60,0,"MD",4,3,24,3,0,0,1,0,,1,,,1,1,-1,,-4,2,2,1,37,9,2,1,100,0,100,0,2,1,3,2,.5,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.033738242,1.251401751,40,,60,"WI",5,2,55,1,1,0,0,0,4,,,,4,2,-1,4,-1,2,2,1,55,18,1,1,50,30,50,30,2,1,0,2,.3125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.2495876494,.2926324043,50,50,60,"OR",4,4,-1,1,1,0,0,0,2,,,,2,7,1,6,3,2,2,1,30,1,2,6,0,85,85,0,3,2,2,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.585464107,.5152822839,51,51,49,"VA",11,3,51,4,0,0,0,1,,,,3,3,2,-1,3,-1,7,5,4,38,21,1,1,85,0,85,0,2,1,2,1,.375,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.105499346,1.343007056,60,100,85,"NC",2,3,-1,2,0,1,0,0,,,1,,1,3,0,4,0,3,3,2,41,3,2,4,60,40,60,40,5,3,3,4,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4528829304,.4559953418,85,85,85,"ID",1,4,-1,3,0,0,1,0,,3,,,3,5,0,6,0,3,3,2,66,7,1,1,0,100,100,0,5,3,3,4,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.133490833,1.21731719,70,70,70,"MA",5,1,25,1,1,0,0,0,4,,,,4,3,0,3,0,6,4,3,54,22,1,1,40,30,40,30,2,1,1,3,.4375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.707343574,.7418252001,70,70,70,"NH",1,1,33,1,1,0,0,0,3,,,,3,1,-1,3,-4,6,4,3,55,20,1,1,85,16,85,16,2,1,1,2,.375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.5920916041,.6274317224,50,50,50,"NV",3,4,32,1,1,0,0,0,4,,,,4,1,-1,2,-5,6,4,3,62,-9,2,1,85,0,85,0,2,4,1,2,.5625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.5981445942,.5498066037,85,80,85,"WI",2,2,55,1,1,0,0,0,2,,,,2,2,-1,3,-2,2,2,1,80,5,2,3,85,30,85,30,2,2,1,2,.4375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.9117973103,1.106111565,30,50,100,"PA",15,1,42,3,0,0,1,0,,5,,,5,7,1,6,5,7,5,4,31,12,1,6,0,100,100,0,3,3,3,2,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",2.39158343,2.132439237,100,100,100,"CA",38,4,6,3,0,0,1,0,,1,,,1,1,-1,4,-5,1,1,1,80,6,2,3,70,15,70,15,1,0,0,1,.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",6.903874032,6.616629047,50,50,50,"NY",7,1,36,1,1,0,0,0,5,,,,5,3,0,2,0,6,4,3,24,21,1,6,25,0,25,0,2,1,0,3,.375,1,2,1,2,1,2,2
"ANES2020TimeSeries_20220210",1.31773391,1.727849979,50,50,50,"AZ",6,4,4,1,1,0,0,0,3,,,,3,7,1,6,4,7,5,4,55,15,1,1,30,85,85,30,3,2,2,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",4.473985229,5.809539145,85,85,85,"CA",20,4,-1,3,0,0,1,0,,3,,,3,2,-1,,-2,1,1,1,59,6,2,1,60,15,60,15,2,3,2,3,.625,2,2,2,2,2,2,0
